Source,Target,Type,Weight
Bryant,Wilson,Undirected,29
Lucas,Perry,Undirected,63
Webb,Lee,Undirected,30
Burns,Shelton,Undirected,35
Douglas,Murray,Undirected,40
Jones,Holland,Undirected,13
Coleman,Thornton,Undirected,18
Salazar,Nguyen,Undirected,8
Becker,Frazier,Undirected,24
Griffin,Stevens,Undirected,6
Ryan,Schneider,Undirected,17
Mcdaniel,Arnold,Undirected,67
Lewis,Nelson,Undirected,26
Armstrong,Maldonado,Undirected,9
Chen,Castro,Undirected,18
Cunningham,Lee,Undirected,22
Burns,Ramirez,Undirected,10
Freeman,Cunningham,Undirected,11
Rose,Hale,Undirected,11
Bush,Powers,Undirected,6
Cohen,Porter,Undirected,11
Chambers,Rice,Undirected,10
Ferguson,Lowe,Undirected,24
Chambers,Wilson,Undirected,46
Cruz,Sandoval,Undirected,29
Ellis,Webb,Undirected,22
Lee,Robinson,Undirected,21
Fowler,Berry,Undirected,13
George,Lopez,Undirected,9
Armstrong,Bryant,Undirected,13
Bradley,Hughes,Undirected,42
Harper,Fernandez,Undirected,14
Perkins,Carr,Undirected,52
Gomez,Martinez,Undirected,20
Murray,Lynch,Undirected,21
Garrett,Diaz,Undirected,44
Greene,Harper,Undirected,166
Garrett,Allen,Undirected,19
Jimenez,Mason,Undirected,14
Carlson,Lewis,Undirected,21
Nguyen,Carroll,Undirected,15
Vega,Coleman,Undirected,8
Park,Armstrong,Undirected,11
Maldonado,Wilson,Undirected,9
Thornton,Dean,Undirected,9
Armstrong,Jordan,Undirected,25
Mason,Reynolds,Undirected,20
Spencer,Guerrero,Undirected,28
Mason,Hughes,Undirected,155
Mcdaniel,Maldonado,Undirected,10
Banks,Pearson,Undirected,11
Miles,Peterson,Undirected,6
Wilson,Banks,Undirected,81
Garcia,Patterson,Undirected,14
Olson,Dunn,Undirected,28
Murray,Spencer,Undirected,12
Banks,Lewis,Undirected,5
James,Garrett,Undirected,6
Elliott,Stewart,Undirected,71
Norris,Banks,Undirected,23
Mccoy,Nelson,Undirected,42
Neal,Moreno,Undirected,5
Lee,Cunningham,Undirected,11
Jones,Lawrence,Undirected,8
Mendoza,Spencer,Undirected,95
Schneider,Newman,Undirected,74
Simmons,Fields,Undirected,6
Stewart,Jimenez,Undirected,34
Gibson,Hughes,Undirected,30
Carroll,Allen,Undirected,79
Bradley,Lewis,Undirected,14
Wagner,Simpson,Undirected,57
Murphy,Thornton,Undirected,45
Perkins,Walters,Undirected,26
Lawrence,Hart,Undirected,15
Arnold,Robinson,Undirected,23
Garrett,Douglas,Undirected,27
Carroll,Carlson,Undirected,22
Diaz,Wilson,Undirected,17
Garcia,Rice,Undirected,8
Mcdaniel,Schultz,Undirected,158
Ruiz,Murray,Undirected,20
Newman,Delgado,Undirected,14
Barnes,Lewis,Undirected,7
Hale,Ortiz,Undirected,22
Stanley,Jacobs,Undirected,14
Newman,Watson,Undirected,63
Banks,Parker,Undirected,35
Myers,Price,Undirected,19
Perkins,Salazar,Undirected,76
James,Lewis,Undirected,22
Welch,Stone,Undirected,14
Warner,Ramirez,Undirected,10
Schneider,Norris,Undirected,57
Barker,Chambers,Undirected,11
Hughes,Frazier,Undirected,5
Hansen,Andrews,Undirected,64
Murray,Norris,Undirected,49
Watts,Nguyen,Undirected,45
Chambers,Bell,Undirected,51
Douglas,Perkins,Undirected,51
Aguilar,Ortega,Undirected,5
Ford,Hughes,Undirected,19
Robinson,Neal,Undirected,61
Maldonado,Hopkins,Undirected,24
Howell,Murray,Undirected,75
Jenkins,Berry,Undirected,13
Webb,Jimenez,Undirected,6
Castillo,Lee,Undirected,15
Gilbert,Barnett,Undirected,8
Salazar,Banks,Undirected,29
Guerrero,Spencer,Undirected,9
Holt,Hart,Undirected,12
Graves,Hunter,Undirected,6
Robinson,Robertson,Undirected,18
Park,Griffin,Undirected,88
Davidson,Armstrong,Undirected,5
Richards,Cole,Undirected,14
Garcia,Mccarthy,Undirected,23
Gregory,Banks,Undirected,13
Arnold,Ford,Undirected,29
Salazar,Lyons,Undirected,8
Fernandez,Fisher,Undirected,148
Moreno,Griffin,Undirected,7
Ortiz,Hale,Undirected,117
Black,Dunn,Undirected,19
Gomez,Frazier,Undirected,5
Gonzales,Ortega,Undirected,15
Hall,Hill,Undirected,40
Morris,Walters,Undirected,11
Nguyen,Lee,Undirected,7
Maldonado,Lynch,Undirected,22
Murphy,Dunn,Undirected,24
Murray,Neal,Undirected,6
Santiago,Evans,Undirected,13
Warren,Nelson,Undirected,73
Pierce,Carroll,Undirected,6
Stephens,Berry,Undirected,45
Shelton,Warner,Undirected,8
Barnes,Arnold,Undirected,15
Wilson,Carlson,Undirected,18
Morgan,Harris,Undirected,19
Burton,Dean,Undirected,21
Schneider,Little,Undirected,40
Cole,Vargas,Undirected,11
Mendoza,Kelley,Undirected,19
Patterson,Ferguson,Undirected,17
Murray,Chambers,Undirected,8
Barnes,Hughes,Undirected,41
Horton,Lowe,Undirected,81
Gonzalez,Rice,Undirected,22
Hawkins,Perry,Undirected,23
Horton,Parker,Undirected,7
Gonzales,Schneider,Undirected,29
Garrett,Larson,Undirected,8
Maldonado,Schmidt,Undirected,9
Pierce,Nguyen,Undirected,17
Robinson,Peterson,Undirected,38
Perkins,Larson,Undirected,5
Murray,Schneider,Undirected,35
Hernandez,Shelton,Undirected,36
Wilson,Nguyen,Undirected,119
Carlson,Mendoza,Undirected,37
Davidson,Cook,Undirected,10
Larson,Walters,Undirected,11
Porter,Davis,Undirected,19
Holland,Jones,Undirected,46
Norris,Nguyen,Undirected,17
Harvey,Silva,Undirected,9
Douglas,Nguyen,Undirected,9
Rhodes,Cunningham,Undirected,5
Carr,Bradley,Undirected,26
Newman,Mason,Undirected,10
Newman,Hunt,Undirected,13
Watson,Spencer,Undirected,7
Watson,Schmidt,Undirected,10
Norris,Bryant,Undirected,53
Peterson,Murray,Undirected,10
Rice,Kennedy,Undirected,16
Robertson,Gomez,Undirected,111
Schmidt,Gomez,Undirected,14
Kim,Newman,Undirected,172
Ortiz,Washington,Undirected,21
Burton,Barnett,Undirected,43
Morris,Murray,Undirected,23
Banks,Chambers,Undirected,42
Wilson,Mason,Undirected,19
Jennings,Green,Undirected,30
Stephens,Burton,Undirected,20
Jenkins,Barnett,Undirected,8
Newman,Welch,Undirected,12
Schneider,Wilson,Undirected,38
Ferguson,Schwartz,Undirected,6
Lucas,Watts,Undirected,5
Cole,Hansen,Undirected,77
Ferguson,Robinson,Undirected,122
Harvey,Mcdaniel,Undirected,67
Ortega,Gonzales,Undirected,7
Dunn,Jennings,Undirected,41
Garrett,Nguyen,Undirected,14
Howard,Wilson,Undirected,19
Washington,Jackson,Undirected,10
Mcdaniel,Bradley,Undirected,34
Miller,Silva,Undirected,7
Hughes,Norris,Undirected,72
Barnes,Bryant,Undirected,67
Sanders,Graves,Undirected,83
Banks,Beck,Undirected,15
Carroll,Norris,Undirected,22
Shaw,Warner,Undirected,9
Washington,Ortiz,Undirected,9
Neal,Schneider,Undirected,15
Keller,Richards,Undirected,44
Garrett,Cook,Undirected,7
Gibson,Garrett,Undirected,12
Turner,Bryant,Undirected,74
Murray,Lee,Undirected,59
Spencer,Garrett,Undirected,43
Douglas,Park,Undirected,158
Montgomery,Chen,Undirected,9
Hart,Brewer,Undirected,13
Henry,Salazar,Undirected,23
Carlson,Schneider,Undirected,89
Castro,Chen,Undirected,58
Carlson,Robinson,Undirected,40
Lewis,Allen,Undirected,17
Hill,Little,Undirected,106
Morris,Robinson,Undirected,13
Munoz,Neal,Undirected,118
Long,Lucas,Undirected,5
Schneider,Maldonado,Undirected,31
Salazar,Carroll,Undirected,27
Warren,Horton,Undirected,7
Cohen,Davis,Undirected,8
Mcdaniel,Spencer,Undirected,6
Carroll,Warren,Undirected,21
Robertson,Norris,Undirected,7
Patterson,Garrett,Undirected,69
Gibson,Stone,Undirected,113
Lambert,Gilbert,Undirected,16
Schwartz,Weaver,Undirected,14
Bradley,Gomez,Undirected,21
Maldonado,Graves,Undirected,8
Gomez,Larson,Undirected,27
Robinson,Estrada,Undirected,9
Lewis,Schneider,Undirected,5
Salazar,Thomas,Undirected,8
Mcdaniel,Pearson,Undirected,43
Walters,Hughes,Undirected,45
Perez,Cole,Undirected,103
Barnes,Gibson,Undirected,117
Schneider,Griffin,Undirected,9
Fowler,Hoffman,Undirected,17
Gomez,Salazar,Undirected,8
Martinez,Stanley,Undirected,16
Griffin,Wilson,Undirected,6
Chambers,Garrett,Undirected,19
Newman,Lewis,Undirected,7
Weaver,Johnston,Undirected,17
Wheeler,Carr,Undirected,43
Mcdaniel,Jacobs,Undirected,56
Patterson,Carroll,Undirected,7
Salazar,Bradley,Undirected,25
Chambers,Perkins,Undirected,14
Lee,Hill,Undirected,115
White,Keller,Undirected,20
Arnold,Garrett,Undirected,59
Ramirez,Perez,Undirected,32
Silva,Neal,Undirected,6
Ferguson,Neal,Undirected,29
Spencer,Lucas,Undirected,20
Rios,Schwartz,Undirected,25
Greene,Fields,Undirected,33
Douglas,Walters,Undirected,103
Tran,Jenkins,Undirected,35
Lee,Black,Undirected,11
Richardson,Lewis,Undirected,13
Carroll,Jordan,Undirected,40
Norris,Park,Undirected,20
Jordan,Ruiz,Undirected,11
Bryant,Banks,Undirected,49
Silva,Banks,Undirected,11
Becker,Stone,Undirected,17
Richards,Dominguez,Undirected,7
Jacobs,Pearson,Undirected,29
Stevens,Moreno,Undirected,20
Park,Schneider,Undirected,30
Benson,Arnold,Undirected,12
Garrett,Jordan,Undirected,20
Murray,Moreno,Undirected,60
Norris,Lewis,Undirected,7
Salazar,Padilla,Undirected,8
Peterson,Mcdaniel,Undirected,10
Myers,Little,Undirected,19
Gomez,Nguyen,Undirected,9
Lambert,Berry,Undirected,223
Lewis,Reynolds,Undirected,34
Harper,Medina,Undirected,72
Carr,Castillo,Undirected,9
Robinson,Schmidt,Undirected,24
Chambers,Banks,Undirected,24
Hughes,Gomez,Undirected,14
Bishop,Harris,Undirected,11
Lee,Thomas,Undirected,18
Gilbert,Mcdaniel,Undirected,12
George,Simpson,Undirected,5
Park,Spencer,Undirected,6
Harvey,Lowe,Undirected,36
Carroll,Barker,Undirected,20
Contreras,Nguyen,Undirected,6
Stevens,Lynch,Undirected,12
Bryant,Salazar,Undirected,20
Allen,Gonzales,Undirected,9
White,Wallace,Undirected,10
Lambert,Tran,Undirected,10
Cohen,Garza,Undirected,12
Salazar,Ryan,Undirected,16
Gomez,Moreno,Undirected,8
Fields,Simmons,Undirected,59
Hansen,Edwards,Undirected,28
Welch,Ortega,Undirected,129
Carr,Walters,Undirected,5
Nelson,Reynolds,Undirected,16
Aguilar,Nguyen,Undirected,8
Armstrong,Robinson,Undirected,5
Watson,Newman,Undirected,5
Schwartz,Pearson,Undirected,8
Griffin,Barnes,Undirected,9
Newman,Barnes,Undirected,28
Lynch,Silva,Undirected,25
Frazier,Nguyen,Undirected,8
Stanley,Bradley,Undirected,30
Larson,Gomez,Undirected,23
Hill,Newman,Undirected,23
Jones,Holt,Undirected,119
Alvarez,Fernandez,Undirected,49
Moreno,Mccoy,Undirected,5
Gomez,Lynch,Undirected,24
Schmidt,Mcdaniel,Undirected,195
Spencer,Vasquez,Undirected,24
Webb,Sanders,Undirected,8
Lopez,Shaw,Undirected,9
Bryant,Estrada,Undirected,26
Haynes,Barker,Undirected,5
Wagner,Byrd,Undirected,11
Spencer,Carlson,Undirected,7
Evans,Santiago,Undirected,17
Burke,Brown,Undirected,19
Rivera,Graham,Undirected,35
Vasquez,Hill,Undirected,76
Bishop,Lewis,Undirected,17
Harrison,Jennings,Undirected,5
Vasquez,Lowe,Undirected,26
Tran,Reyes,Undirected,27
Montgomery,Sullivan,Undirected,5
Berry,Coleman,Undirected,9
Chambers,Garcia,Undirected,9
Bailey,Lewis,Undirected,11
Peterson,Sutton,Undirected,5
Thornton,Lambert,Undirected,73
Bush,Garrett,Undirected,11
Chambers,Castillo,Undirected,125
Frazier,Norris,Undirected,16
Jacobs,Bradley,Undirected,10
Porter,Garza,Undirected,6
Lee,Jordan,Undirected,32
Morris,Arnold,Undirected,87
Gomez,Lowe,Undirected,35
Thomas,Schneider,Undirected,58
Cooper,Nguyen,Undirected,5
Gutierrez,Porter,Undirected,10
Harrison,Rhodes,Undirected,6
Hill,Bennett,Undirected,6
Spencer,Brown,Undirected,52
Lee,Barnes,Undirected,9
Lynch,Lee,Undirected,15
Watkins,Nguyen,Undirected,44
Lee,Weber,Undirected,167
Steele,Elliott,Undirected,20
Chambers,Carroll,Undirected,9
Schneider,Thomas,Undirected,20
Stephens,Miller,Undirected,5
Hill,Aguilar,Undirected,37
Rios,Jennings,Undirected,16
Griffin,Warren,Undirected,19
Shelton,Richards,Undirected,33
Garrett,Bryant,Undirected,21
Gibson,Schneider,Undirected,8
Franklin,Murray,Undirected,44
Lewis,Carlson,Undirected,15
Mcdaniel,Salazar,Undirected,11
Cook,Barnes,Undirected,176
Edwards,Hansen,Undirected,35
Walsh,Chen,Undirected,20
Douglas,Gonzales,Undirected,5
Ferguson,Martin,Undirected,5
Henderson,Reed,Undirected,28
Lee,Murray,Undirected,26
Hamilton,Carr,Undirected,9
Wheeler,Norris,Undirected,10
Sutton,Lynch,Undirected,7
Woods,Hill,Undirected,7
Gomez,Barker,Undirected,12
Watson,Lucas,Undirected,6
Hill,Lee,Undirected,18
Watts,Guerrero,Undirected,42
Mcdonald,Richardson,Undirected,37
Carroll,Salazar,Undirected,49
Ford,Vasquez,Undirected,93
Robinson,Salazar,Undirected,19
Mcdaniel,Vasquez,Undirected,9
Shelton,Lopez,Undirected,61
Silva,Young,Undirected,31
Meyer,Shelton,Undirected,39
Schmidt,Lee,Undirected,39
Bell,Salazar,Undirected,11
Salazar,Schmidt,Undirected,18
Cook,Perkins,Undirected,5
Webb,Silva,Undirected,26
Morgan,Castro,Undirected,21
Berry,Banks,Undirected,46
Barnes,Welch,Undirected,5
Chapman,Barker,Undirected,7
Williams,Shaw,Undirected,41
Stanley,Kennedy,Undirected,10
Pearson,Schneider,Undirected,6
Bradley,Garrett,Undirected,10
Holmes,Schultz,Undirected,6
Newman,Salazar,Undirected,11
Ruiz,Horton,Undirected,21
Benson,Bryant,Undirected,39
Maldonado,Schneider,Undirected,68
Robinson,Mendoza,Undirected,15
Reyes,Dean,Undirected,89
Arnold,Powers,Undirected,114
Moreno,Stevens,Undirected,11
Larson,Spencer,Undirected,19
Santos,Medina,Undirected,30
Douglas,Martinez,Undirected,54
Wells,Peterson,Undirected,19
Gonzales,Becker,Undirected,10
Jensen,Hale,Undirected,16
Wong,Jacobs,Undirected,15
Elliott,Berry,Undirected,28
Ross,Nguyen,Undirected,16
Munoz,Silva,Undirected,5
Cox,Morrison,Undirected,10
Murray,Arnold,Undirected,15
Stone,Becker,Undirected,108
Warren,Park,Undirected,36
Martin,Hughes,Undirected,23
Garrett,Barnes,Undirected,11
Jenkins,Fowler,Undirected,8
Myers,Lewis,Undirected,15
Park,Bradley,Undirected,42
Stone,Murray,Undirected,70
Norris,Gomez,Undirected,9
Barker,Maldonado,Undirected,32
Fowler,Tran,Undirected,24
Jackson,White,Undirected,24
Lopez,Vaughn,Undirected,16
Murray,Robinson,Undirected,10
Moreno,Salazar,Undirected,15
Banks,Martinez,Undirected,13
Carroll,James,Undirected,33
Stanley,Nguyen,Undirected,108
Schneider,Robinson,Undirected,50
Lee,Mcdaniel,Undirected,16
Schmidt,Lewis,Undirected,6
Wade,Fields,Undirected,24
Wells,Grant,Undirected,8
Barnett,Gilbert,Undirected,7
Lopez,Ramos,Undirected,12
Gomez,Howell,Undirected,9
Bush,Walters,Undirected,22
Gonzales,Chambers,Undirected,42
Gregory,Woods,Undirected,26
Fields,Wade,Undirected,18
Silva,Mcdaniel,Undirected,21
Harris,Fisher,Undirected,13
Frazier,Thomas,Undirected,6
Davis,Garza,Undirected,42
Ruiz,Ferguson,Undirected,16
Lynch,Mcdaniel,Undirected,24
Contreras,Diaz,Undirected,98
Lewis,Nguyen,Undirected,5
Chambers,Hill,Undirected,28
Thornton,Gilbert,Undirected,11
Bradley,Becker,Undirected,9
Lewis,Murray,Undirected,13
Price,Myers,Undirected,18
Gomez,Douglas,Undirected,55
Keller,White,Undirected,11
Young,Spencer,Undirected,14
Stevens,Pearson,Undirected,63
Mendoza,Pearson,Undirected,42
Reyes,Silva,Undirected,13
Ferguson,Chambers,Undirected,24
Banks,Carroll,Undirected,24
Thornton,Reyes,Undirected,36
Martin,Gibson,Undirected,20
Bryant,Henderson,Undirected,18
Garrett,Vasquez,Undirected,18
Mccarthy,Chambers,Undirected,36
Lewis,Benson,Undirected,25
Jennings,Jenkins,Undirected,40
Fisher,Alvarez,Undirected,28
Black,Newman,Undirected,16
Harris,Collins,Undirected,16
Barnett,Stewart,Undirected,82
Carter,Arnold,Undirected,14
Greene,Santos,Undirected,31
Jimenez,Vega,Undirected,5
Dean,Steele,Undirected,28
Aguilar,Diaz,Undirected,8
Neal,Nguyen,Undirected,9
Carroll,Gibson,Undirected,34
Freeman,Rios,Undirected,10
Lucas,Brown,Undirected,58
Wilson,Schwartz,Undirected,48
White,Warner,Undirected,17
Hayes,Warner,Undirected,70
Lewis,Salazar,Undirected,49
Dominguez,George,Undirected,24
Robinson,Pierce,Undirected,6
Russell,Fowler,Undirected,13
Horton,Gomez,Undirected,63
George,Shaw,Undirected,79
Fisher,Greene,Undirected,96
Harvey,Haynes,Undirected,18
Cook,Hughes,Undirected,23
Wells,Silva,Undirected,44
Horton,Hill,Undirected,47
Bradley,Contreras,Undirected,12
Woods,Horton,Undirected,15
Montgomery,Harris,Undirected,21
Jenkins,Gilbert,Undirected,42
Peterson,Barnes,Undirected,24
Spencer,Griffin,Undirected,7
Perez,Ramirez,Undirected,6
Hudson,Sullivan,Undirected,10
Craig,Gray,Undirected,49
Griffin,Parker,Undirected,16
Gomez,Carter,Undirected,12
Vasquez,Peterson,Undirected,24
Douglas,Barnes,Undirected,10
Nguyen,Powers,Undirected,13
Gordon,Henderson,Undirected,5
Salazar,Silva,Undirected,14
Bryant,Reed,Undirected,14
Walters,Carr,Undirected,82
Olson,Jennings,Undirected,23
Myers,Chambers,Undirected,6
Gonzales,Murray,Undirected,9
Banks,Maldonado,Undirected,7
Garrett,Gomez,Undirected,16
Frazier,Perkins,Undirected,12
Gardner,Gray,Undirected,14
Thomas,Lee,Undirected,8
Banks,Woods,Undirected,88
Lee,Watts,Undirected,33
Stevens,Lee,Undirected,57
Little,Myers,Undirected,21
Munoz,Hall,Undirected,13
Armstrong,Ferguson,Undirected,24
Pierce,Douglas,Undirected,5
Vasquez,Neal,Undirected,71
Chambers,Bradley,Undirected,43
Dunn,Harrison,Undirected,11
Gonzales,Parker,Undirected,30
Dean,Gilbert,Undirected,12
Maldonado,Munoz,Undirected,56
Neal,Turner,Undirected,13
Jones,Brewer,Undirected,15
Bailey,Estrada,Undirected,8
Payne,Sims,Undirected,17
Garrett,Schneider,Undirected,16
Shelton,Meyer,Undirected,12
Fowler,Clark,Undirected,30
Hoffman,Jenkins,Undirected,30
Green,Delgado,Undirected,83
Perez,Hayes,Undirected,46
Barnett,Richardson,Undirected,9
Banks,Gregory,Undirected,14
Mcdaniel,Banks,Undirected,35
Newman,Harrison,Undirected,64
Cunningham,Schwartz,Undirected,35
Silva,Berry,Undirected,116
Frazier,Griffin,Undirected,23
Watts,Pearson,Undirected,53
Mccoy,Hill,Undirected,13
Welch,Hill,Undirected,18
Morales,Vazquez,Undirected,53
Stevens,Howard,Undirected,18
Walters,Carlson,Undirected,13
Sanders,Lowe,Undirected,47
Nelson,Warren,Undirected,18
Freeman,Harrison,Undirected,7
Nunez,Shelton,Undirected,32
Pearson,Mccoy,Undirected,82
Jennings,Murphy,Undirected,38
Neal,Ferguson,Undirected,6
Kim,Murphy,Undirected,8
Mcdaniel,Adams,Undirected,22
Peterson,Walters,Undirected,49
Hayes,Richards,Undirected,28
Ross,Mcdonald,Undirected,57
Boyd,Bryant,Undirected,5
Frazier,Becker,Undirected,23
Maldonado,Gomez,Undirected,24
Hernandez,Shaw,Undirected,15
Bradley,Barker,Undirected,8
Garrett,Moreno,Undirected,27
Olson,Weber,Undirected,21
Berry,Steele,Undirected,13
Hill,Leonard,Undirected,20
Schwartz,Duncan,Undirected,17
Bell,Vasquez,Undirected,459
Griffin,Stanley,Undirected,53
Grant,Wells,Undirected,19
Soto,Obrien,Undirected,42
Mcdaniel,Mcdonald,Undirected,42
Arnold,Norris,Undirected,16
Ruiz,Gordon,Undirected,22
Chambers,Mccarthy,Undirected,25
Dominguez,Richards,Undirected,37
Lowe,Horton,Undirected,28
Garrett,Ferguson,Undirected,12
Perez,Hernandez,Undirected,24
Sutton,Moreno,Undirected,118
Adams,Chavez,Undirected,13
Reyes,Nichols,Undirected,11
Lee,Allen,Undirected,31
Lewis,Day,Undirected,9
Lewis,Lee,Undirected,6
Mcdaniel,Sanders,Undirected,23
Douglas,Vasquez,Undirected,6
Henry,Schneider,Undirected,25
Castillo,Griffin,Undirected,13
Nichols,Reyes,Undirected,42
Schwartz,Flores,Undirected,30
Douglas,Bush,Undirected,12
Hall,Ferguson,Undirected,23
Patterson,Watts,Undirected,7
Newman,Murray,Undirected,40
Diaz,Gomez,Undirected,139
Murphy,Gilbert,Undirected,24
Hoffman,Clark,Undirected,13
Lynch,Maldonado,Undirected,22
Morrison,Sims,Undirected,57
Bradley,Munoz,Undirected,12
Garrett,Bush,Undirected,20
Gutierrez,Davis,Undirected,12
Hayes,George,Undirected,15
Hughes,Barnes,Undirected,26
Meyer,Hayes,Undirected,17
Watts,Schneider,Undirected,7
Estrada,Walters,Undirected,16
Wilson,Moreno,Undirected,5
Salazar,Griffin,Undirected,5
Watts,Schmidt,Undirected,142
Webb,Owens,Undirected,5
Miles,Schmidt,Undirected,7
Stone,Chambers,Undirected,46
Diaz,Ferguson,Undirected,75
Myers,Wong,Undirected,14
Wilson,Maldonado,Undirected,40
Gibson,Gomez,Undirected,29
Gomez,Griffin,Undirected,63
Flores,Stewart,Undirected,20
Chambers,Henry,Undirected,5
Black,Kim,Undirected,40
Fisher,Fernandez,Undirected,13
Pearson,Lee,Undirected,13
Silva,Dean,Undirected,66
Armstrong,Vasquez,Undirected,22
Schmidt,Frazier,Undirected,18
Thomas,Nguyen,Undirected,26
Gonzales,Mason,Undirected,8
Welch,Long,Undirected,6
Douglas,Jacobs,Undirected,21
Banks,Bryant,Undirected,96
Jennings,Schwartz,Undirected,8
Mcdaniel,Douglas,Undirected,33
Allen,Garrett,Undirected,83
Padilla,Gregory,Undirected,15
Frazier,Nelson,Undirected,10
Stewart,Wells,Undirected,82
Schmidt,Armstrong,Undirected,99
Jenkins,Lewis,Undirected,27
Steele,Turner,Undirected,133
Powers,Vasquez,Undirected,33
Watts,Wilson,Undirected,15
Nichols,King,Undirected,6
Wong,Peterson,Undirected,16
Peterson,Miles,Undirected,53
Robinson,Thomas,Undirected,62
Washington,Sanchez,Undirected,54
Barnes,Stanley,Undirected,7
Davidson,Schneider,Undirected,34
Bush,Maldonado,Undirected,8
Chambers,Howard,Undirected,35
George,Cole,Undirected,5
Stephens,Jenkins,Undirected,26
Wagner,Shelton,Undirected,21
Medina,Harper,Undirected,11
Norris,Griffin,Undirected,13
Warner,Dominguez,Undirected,39
Wade,Greene,Undirected,22
Flores,Bryant,Undirected,28
Gonzales,Thomas,Undirected,31
Murray,Banks,Undirected,30
Cox,Leonard,Undirected,15
Ford,Jordan,Undirected,118
Schwartz,Maldonado,Undirected,9
Henry,Adams,Undirected,13
Jordan,Padilla,Undirected,75
Gomez,Schmidt,Undirected,18
Delgado,Harrison,Undirected,12
Fisher,Snyder,Undirected,8
Fisher,Medina,Undirected,82
Hunt,Miller,Undirected,16
Stanley,Rogers,Undirected,50
Vasquez,Griffin,Undirected,8
Martinez,Douglas,Undirected,24
Mason,Wilson,Undirected,6
Chavez,Pearson,Undirected,26
Washington,Keller,Undirected,21
Moreno,Stanley,Undirected,45
Ferguson,Griffin,Undirected,70
Harris,Austin,Undirected,14
Warner,Vaughn,Undirected,23
Jennings,Weber,Undirected,13
Richards,Jackson,Undirected,12
Kennedy,Graves,Undirected,17
Stanley,Maldonado,Undirected,6
Chavez,Adams,Undirected,6
Becker,Schneider,Undirected,15
Russell,Barnett,Undirected,29
Barnes,Gomez,Undirected,59
Murray,Miller,Undirected,29
Murray,Ryan,Undirected,108
Hayes,Ramirez,Undirected,5
Stanley,Howell,Undirected,7
Stanley,Henry,Undirected,26
Richards,Keller,Undirected,68
Delgado,Green,Undirected,39
Lee,Ford,Undirected,104
Walters,Mason,Undirected,45
Davis,Cohen,Undirected,58
Stanley,Lane,Undirected,55
Schneider,Guerrero,Undirected,6
Henderson,Bryant,Undirected,23
Pierce,Wilson,Undirected,7
Martin,Schwartz,Undirected,14
Pierce,Gomez,Undirected,85
Gibson,Castillo,Undirected,18
Thornton,Murphy,Undirected,11
Larson,Thomas,Undirected,65
Rogers,Mcdaniel,Undirected,9
Estrada,Bryant,Undirected,31
Gibson,Gonzales,Undirected,13
Young,Carlson,Undirected,60
Carlson,Lynch,Undirected,6
Walters,Thomas,Undirected,16
Armstrong,Larson,Undirected,30
Medina,Kelly,Undirected,16
Perez,Shaw,Undirected,115
Frazier,Hughes,Undirected,8
Hoffman,Tran,Undirected,27
Bryant,Griffin,Undirected,51
James,Schneider,Undirected,17
Salazar,Spencer,Undirected,11
Spencer,Estrada,Undirected,26
Gibson,Mcdaniel,Undirected,5
Rice,Robertson,Undirected,27
Schneider,Carlson,Undirected,19
Kim,Harrison,Undirected,6
Hill,Armstrong,Undirected,37
Aguilar,Robinson,Undirected,11
Garrett,Hanson,Undirected,23
Rios,Freeman,Undirected,29
Hall,Armstrong,Undirected,5
Coleman,Burton,Undirected,16
Lee,Howell,Undirected,19
Elliott,Burton,Undirected,8
Lewis,Howard,Undirected,38
Guerrero,Pierce,Undirected,18
Jacobs,Robinson,Undirected,36
Ruiz,Arnold,Undirected,28
Silva,Carlson,Undirected,11
Garrett,Wilson,Undirected,9
Howell,Robertson,Undirected,10
Wilson,Arnold,Undirected,8
Banks,Gonzales,Undirected,67
Pena,Burke,Undirected,9
Stephens,Coleman,Undirected,13
Mcdaniel,Ray,Undirected,9
Reynolds,Nelson,Undirected,33
Robertson,Woods,Undirected,38
Dean,Elliott,Undirected,8
Carroll,Horton,Undirected,49
Patterson,Pierce,Undirected,36
Lynch,Henry,Undirected,36
Simmons,Greene,Undirected,22
Perkins,Cook,Undirected,9
Vaughn,Ramirez,Undirected,151
Lewis,Pierce,Undirected,56
Mason,Jimenez,Undirected,6
Schneider,Mason,Undirected,28
Martin,Hall,Undirected,10
Hamilton,Schwartz,Undirected,50
Cole,Simpson,Undirected,42
Jordan,Carter,Undirected,13
Davidson,Perkins,Undirected,17
Nguyen,Schmidt,Undirected,13
Garrett,Lee,Undirected,31
Nguyen,Arnold,Undirected,5
Cole,Jackson,Undirected,10
Carlson,Perry,Undirected,37
Estrada,Newman,Undirected,14
Watts,Salazar,Undirected,28
Moreno,Pearson,Undirected,6
Schneider,Moreno,Undirected,16
Schneider,Stanley,Undirected,96
Chambers,Myers,Undirected,29
Lopez,Richards,Undirected,10
Ferguson,Nguyen,Undirected,8
Benson,Little,Undirected,11
Murray,Bush,Undirected,88
Neal,Robinson,Undirected,12
Russell,Burton,Undirected,9
Turner,Neal,Undirected,24
Brewer,Holland,Undirected,59
Brewer,Craig,Undirected,6
Thomas,Little,Undirected,16
Garrett,Aguilar,Undirected,31
Bush,Carter,Undirected,49
Wilson,Henry,Undirected,7
Burton,Jenkins,Undirected,178
Murray,Griffin,Undirected,29
Jennings,Freeman,Undirected,15
Silva,Douglas,Undirected,8
